I have never been afraid of challenges;Я никогда не боялся вызовов
I am afraid for his safety;Я беспокоюсь за его безопасность
An adult should take responsibility for their actions;Взрослый должен брать ответственность за свои действия
You are becoming an adult now;Ты сейчас становишься взрослым
When I turned 18, I officially became an adult;Когда мне исполнилось 18, я официально стал взрослым
Will she be considered an adult at 21?;Будет ли она считаться взрослой в 21 год?
He is not an adult yet, so he can't vote; Он еще не взрослый, поэтому не может голосовать
I agree with your point of view; Я согласен с твоей точкой зрения
We are agreeing on most topics during the meeting; Мы соглашаемся по большинству вопросов во время собрания
Will you agree to change the schedule?; Ты согласишься изменить расписание?
Have you agreed on the terms yet?; Вы уже договорились о условиях?
I don't agree with this decision; Я не согласен с этим решением
This time next week, we will be agreeing on the final details; На следующей неделе в это время мы будем согласовывать окончательные детали
I have never seen such an amazing performance; Я никогда не видел такого удивительного представления
This place must be amazing in summer; Это место, должно быть, удивительно летом
This weather is not amazing at all; Эта погода совсем не удивительная
While I was traveling, I was constantly seeing amazing places; Пока я путешествовал, я постоянно видел удивительные места
He often gets angry at small mistakes; Он часто злится из-за мелких ошибок
I will be angry if they don't apologize
You shouldn't be angry over such trivial things; Тебе не следует злиться из-за таких пустяков
He is not angry anymore; Он больше не злится
She was getting angrier as she continued to argue; Она становилась все злее, продолжая спорить
He usually arrives early; Он обычно приходит рано
They arrived late last night; Они прибыли поздно прошлой ночью
We will arrive at 10 o'clock; Мы прибудем в 10 часов
Have you arrived yet?; Ты уже прибыл?
You should arrive earlier to avoid traffic; Тебе следует приехать раньше, чтобы избежать пробок
By the time you get here, we will have already arrived; К тому времени, как ты сюда доберешься, мы уже прибудем
I was arriving just as the meeting started; Я прибыл как раз когда началось собрание
He stays away from trouble; Он держится подальше от неприятностей
She is walking away; Она уходит
They moved away last year; Они переехали в прошлом году
I will be away next week; На следующей неделе меня не будет
Have you been away for long?; Ты долго отсутствовал?
You should put that book away; Ты должен убрать эту книгу
If you push this button, the door slides away; Если нажать эту кнопку, дверь отъезжает
If they had stayed away, the problem would not have occurred; Если бы они держались подальше, проблемы бы не возникло
I will be back soon; Я скоро вернусь
When I called, she was driving back from the city; Когда я звонил, она возвращалась из города
